x,y
36.701752,114.736145
36.701977,114.736122
30.936052,121.118195
21.408049,109.138939
31.333509,121.51059
28.965614,120.153175
36.699879,114.737541
31.649515,120.74118
31.281885,121.506645
30.739567,120.147148
22.622932,110.205421
31.217529,121.449135
21.032835,109.090714
30.600243,119.895638
31.20071,121.482872
30.537319,114.369095
22.62558,113.812683
31.201923,121.48291
31.244926,121.509178
31.149029,121.510582
31.360867,121.190132
32.016018,120.860489
28.804653,119.966156
31.333925,121.513992
36.701641,114.735458
31.360781,121.190079
31.287758,121.501984
28.960951,120.177917
31.270376,121.558922
-8.240853,115.379555
-8.690858,115.430031
31.617121,118.540535
31.286596,121.503815
26.077507,119.299278
31.234545,121.505501
31.234243,121.498596
34.054272,-118.244301
31.288187,121.503593
36.721329,114.682343
52.506268,13.33928
31.218781,121.450035
31.279406,121.509071
30.706362,120.849617
34.404953,-119.311432
28.961012,120.176933
25.040842,102.70916
30.141653,118.161804
31.306217,121.509033
28.961878,120.183907
31.305412,121.507385
28.954292,120.166672
31.287487,121.503891
31.215508,121.565712
28.951149,120.165024
-8.73715,115.166664
30.003942,117.988144
31.350456,121.263115
28.954876,120.167023
39.938309,116.392883
36.705669,114.724037
31.601357,120.127342
30.739405,120.146278
31.28808,121.503418
36.701477,114.73465
30.19161,120.114456
-8.424837,115.24939
30.651995,104.083878
21.011873,109.103096
31.332066,121.509544
30.141361,118.171295
21.011538,109.103203
31.215378,121.474548
31.21701,121.456726
31.299864,121.515762
-8.48027,115.267723
31.306185,121.508812
-8.810083,115.168015
24.620857,102.948555
24.915308,102.467354
28.960424,120.174538
-8.243455,115.374428
22.625351,110.208092
31.035711,121.240273
26.084845,119.300041
39.933487,116.453415
31.039078,121.240814
-8.742175,115.16626
31.286596,121.503815
31.331703,121.509407
31.253223,121.439049
30.225067,120.045853
22.605064,108.185585
21.028582,109.110695
31.238174,121.4953
30.608017,119.853241
31.21615,121.57132
31.331034,121.508026
29.511667,117.894073
21.40777,109.138603
31.30654,121.510933
30.430189,104.000107
30.000767,117.989578
28.975479,120.163605
31.329136,121.49131
31.150055,121.39727
31.330481,121.508232
30.371824,120.023094
27.350557,103.349907
29.89926,103.369308
31.601664,118.579697
31.671335,121.478119
31.303534,120.735985
24.914944,102.464638
36.696899,114.723228
31.2201,121.451134
36.701801,114.736069
31.288231,121.501862
31.32902,121.516373
31.144724,121.657761
-8.829828,115.085052
30.14072,118.166046
31.285044,121.5056
30.891214,121.919197
30.367182,120.027405
31.20064,121.48288
-8.579066,115.3451
31.284489,121.50592
36.702076,114.734886
31.287289,121.505981
36.702812,114.72924
36.702114,114.730743
25.929611,119.676765
36.695816,114.725952
31.249937,121.529884
30.582241,119.866035
31.203468,121.48204
26.766624,119.684151
31.216162,121.564491
31.253223,121.439049
28.961063,120.17852
31.039066,121.240723
31.333817,121.511116
31.304041,121.509056
31.171751,121.432823
31.3284,121.510437
-8.2408,115.379524
31.217529,121.449135
28.96084,120.176834
29.524525,117.958305
37.42234,-122.082359
21.408173,109.138435
30.621929,104.066986
31.331703,121.50946
31.039164,121.24086
39.944809,116.401009
36.701183,114.729439
36.699299,114.738457
24.621578,102.946663
43.415981,126.632301
28.978945,120.196472
31.225468,121.447899
24.624039,102.943527
36.704056,114.72934
31.234131,121.501228
31.30616,121.510368
28.98497,120.188736
31.283232,121.5065
31.325626,121.508102
30.509708,119.809235
34.034832,-118.274361
31.303305,120.737358
30.465073,104.370995
31.669178,119.753738
31.331711,121.509315
31.268583,121.456879
21.009109,109.103317
36.704441,114.739159
30.191616,120.114433
31.303957,121.509354
30.65451,104.081543
31.216717,121.448288
36.702095,114.729736
31.601404,120.128059
30.749495,120.487427
39.917721,116.436905
30.367695,120.027679
28.96085,120.175896
30.494949,120.342926
40.945702,115.440239
-8.690817,115.430054
31.599621,120.125809
30.509733,119.809158
31.333242,121.510704
36.696159,114.734734
16.835066,96.177086
28.260471,112.882347
18.709244,108.880287
21.020805,109.132202
31.305428,121.509598
31.288263,121.503403
36.70311,114.732117
34.231125,-118.254379
-8.681011,115.446327
31.820166,119.974792
31.222891,121.459465
31.642231,118.67514
21.033375,109.08992
30.747375,120.486534
31.331938,121.509583
30.509604,119.80925
21.409065,109.139153
31.286758,121.504921
22.621611,110.207184
31.09132,121.197777
31.207394,121.46582
31.216442,121.456871
36.701435,114.739128
31.28734,121.505585
31.216305,121.457085
31.820255,120.005508
31.315456,121.521301
31.202692,121.356232
21.033382,109.089912
28.979025,120.162254
-8.407759,115.24765
31.270967,121.557777
31.194902,121.315582
31.649252,120.736351
39.911293,116.48114
30.891539,121.919312
21.409286,109.139252
28.970863,120.160301
24.915277,102.467186
31.216484,121.46582
-8.680959,115.446281
30.509743,119.809227
-8.507433,115.263069
21.012686,109.092026
39.947834,116.41153
21.033382,109.089912
28.953239,120.166122
31.271318,121.557381
24.915031,102.460991
30.750139,120.481079
31.317099,121.546227
31.285044,121.505669
37.421261,-122.094009
31.281424,121.511826
21.03334,109.089897
31.33173,121.509445
36.746269,114.550758
31.297415,121.519539
34.041622,-118.235535
31.288233,121.513786
31.33153,121.509377
31.251081,121.5336
31.360405,121.188278
30.607805,119.852966
31.339153,121.517334
-8.690817,115.430054
28.970697,120.160706
30.120314,118.193665
31.256773,121.578209
31.224377,121.349411
30.506428,120.341728
31.352001,121.265503
31.221897,121.455139
31.215631,121.564316
31.303289,120.73645
22.652676,110.182892
18.62302,108.707672
31.33168,121.509445
36.697079,114.722992
31.333483,121.513977
25.984438,119.217789
24.915031,102.463287
-8.710662,115.175835
31.220987,121.454391
28.973051,120.159294
31.333519,121.510132
29.536825,117.938087
29.513935,117.895554
36.761738,114.487579
27.388641,103.275459
36.704559,114.724159
35.987644,-119.958107
31.340145,121.244766
36.746212,114.551056
31.230921,121.501495
31.203243,121.494576
30.747375,120.486534
22.622639,110.204163
31.286018,121.503113
31.305393,121.507515
28.943146,120.16909
36.694504,114.725548
31.349127,121.262047
31.298664,121.519302
30.000271,117.990021
30.620949,120.550438
37.422504,-122.081917
31.617016,118.540794
-8.690858,115.430031
34.202351,-118.195457
34.231277,-118.254616
31.200695,121.482841
30.225117,120.046158
-8.411375,115.320007
36.615147,114.54673
31.287575,121.504723
31.331911,121.509583
24.916594,102.463234
24.624088,102.943565
34.102253,-118.104836
-8.741322,115.168106
28.977764,120.163605
31.330175,121.507713
24.6241,102.943619
31.304461,121.510902
28.961279,120.179314
29.908751,103.375153
-8.411003,115.247742
21.049631,109.143692
43.421509,126.619209
31.287603,121.504723
31.304041,121.509171
31.331051,121.512955
31.22488,121.393692
31.211857,121.564316
24.950478,102.470932
31.303007,120.737297
31.671364,121.478065
31.288198,121.503601
32.768372,-117.231445
28.949062,120.164322
31.285099,121.505653
26.8696,100.23539
31.333881,121.513992
31.287727,121.504959
31.287849,121.502548
31.2166,121.448265
31.306458,121.51059
23.13204,113.336876
40.958656,115.425354
30.557646,104.052528
23.411852,111.262283
34.202316,-118.195496
31.141539,121.658501
31.192259,121.540413
31.284842,121.506004
28.97146,120.160477
31.198439,121.421013
52.090683,5.122364
28.980028,120.161385
-8.665142,115.462349
31.198345,121.483727
30.557571,104.052254
30.140709,118.174004
33.944908,-118.374321
39.935783,116.391762
31.683268,121.487938
36.696075,114.734886
33.814194,-117.918747
-8.243462,115.374336
36.671776,114.725082
-8.809588,115.167938
30.573769,120.357025
31.234364,121.504532
31.297415,121.519539
32.767403,-117.228615
31.225468,121.447899
31.287603,121.504723
34.404808,-119.311394
22.627071,110.211929
31.330063,121.521706
31.622114,118.651703
28.97785,120.163681
31.039131,121.240814
31.039143,121.240814
30.556709,104.05262
31.039125,121.240807
36.608131,114.524986
39.920135,116.433105
28.960955,120.178246
36.703289,114.729416
31.333464,121.510941
30.269629,120.065254
31.287727,121.504959
30.560289,114.386902
31.298561,121.519249
30.759357,120.488297
30.738852,120.147148
26.919851,120.259483
-8.680972,115.446266
31.288221,121.50341
-8.662808,115.464088
34.231152,-118.254448
31.234282,121.498581
31.281374,121.511864
31.207384,121.46582
28.961796,120.183929
31.331711,121.509315
30.557537,104.052246
34.202271,-118.195534
56.038776,12.621555
30.582493,119.864502
31.270971,121.557793
31.33173,121.509285
36.701229,114.735123
31.200727,121.482841
31.285099,121.505653
-8.411859,115.248085
31.287603,121.504723
31.305193,121.507545
